SUBSTÂNCIA;LABORATÓRIO;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);PMC Sem Impostos;TARJA;;
"21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL";BAYER S.A.;BAYCUTEN N;10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G;D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS;Novo;37,02;- (*) ;;
ABATACEPTE;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;ORENCIA;250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL;M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;Biológico;;Tarja Vermelha;;
ABATACEPTE;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;ORENCIA;125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO;M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;Biológico;9108,26;- (*) ;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;50 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;3851,33;Tarja Vermelha;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;100 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;7702,63;Tarja Vermelha;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;150 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;11060,33;Tarja Vermelha;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;150 MG COM REV CT BL AL AL X 60;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;22120,66;Tarja Vermelha;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;200 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;13812,43;Tarja Vermelha;;
ABEMACICLIBE;ELI LILLY DO BRASIL LTDA;VERZENIOS;200 MG COM REV CT BL AL AL X 60;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;27624,84;Tarja Vermelha;;
ABROCITINIBE;PFIZER BRASIL LTDA;CIBINQO;50 MG COM REV CT FR PLAS PEAD OPC X 30;D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS;Novo;3027,92;Tarja Vermelha;;
ABROCITINIBE;PFIZER BRASIL LTDA;CIBINQO;100 MG COM REV CT FR PLAS PEAD OPC X 30;D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS;Novo;6055,85;Tarja Vermelha;;
ABROCITINIBE;PFIZER BRASIL LTDA;CIBINQO;200 MG COM REV CT FR PLAS PEAD OPC X 30;D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS;Novo;8747,72;Tarja Vermelha;;
ACALABRUTINIBE;ASTRAZENECA DO BRASIL LTDA;CALQUENCE;100 MG CAP DURA CT BL AL AL X 60;L1H6 - ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA QUINASE, BTK;Novo;53159,74;Tarja Vermelha;;
ACARBOSE;EMS SIGMA PHARMA LTDA;AGLUCOSE;50 MG COM CT BL AL AL X 30;A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Similar;36,37;- (*) ;;
ACARBOSE;EMS SIGMA PHARMA LTDA;AGLUCOSE;100 MG COM CT BL AL AL X 30;A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Similar;55,21;- (*) ;;
ACEBROFILINA;EUROFARMA LABORATORIOS S.A.;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,63;Tarja Vermelha;;
ACEBROFILINA;EUROFARMA LABORATORIOS S.A.;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;36,12;Tarja Vermelha;;
ACEBROFILINA;EUROFARMA LABORATORIOS S.A.;FILINAR G;5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL;R5C - EXPECTORANTES;Novo;25,63;- (*) ;;
ACEBROFILINA;EUROFARMA LABORATORIOS S.A.;FILINAR;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;26,57;Tarja Vermelha;;
ACEBROFILINA;EUROFARMA LABORATORIOS S.A.;FILINAR;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;36,40;Tarja Vermelha;;
ACEBROFILINA;EMS S/A;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,59;Tarja Vermelha sob restrição;;
ACEBROFILINA;EMS S/A;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;36,12;Tarja Vermelha sob restrição;;
ACEBROFILINA;EMS S/A;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,59;Tarja Vermelha sob restrição;;
ACEBROFILINA;EMS S/A;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;36,12;Tarja Vermelha sob restrição;;
ACEBROFILINA;LABORATORIO TEUTO BRASILEIRO S/A;ACEBROFILINA;10 MG/ML XPE CT FR PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;35,75;Tarja Vermelha;;
ACEBROFILINA;LABORATORIO TEUTO BRASILEIRO S/A;ACEBROFILINA;5MG/ML XPE CT FR PET AMB X 120ML + COP;R5C - EXPECTORANTES;Genérico;25,63;Tarja Vermelha;;
ACEBROFILINA;LABORATORIO TEUTO BRASILEIRO S/A;DILABRONCO;10MG/ML XPE CT FR PLAS OPC X 120ML + COP;R5C - EXPECTORANTES;Similar;34,05;Tarja Vermelha;;
