id,title,doi,pm_id,journal
019c1a2b-a36f-72f3-9e34-03a65f0074bc,2021 European guideline for the management of vulval conditions,10.1111/jdv.18102,35411963,Journal of the European Academy of Dermatology and Venereology
019c1a2b-a36f-76f3-941f-1f3bd34b2154,2024 Guidelines of the Polish Society of Laboratory Diagnostics and the Polish Lipid Association on laboratory diagnostics of lipid metabolism disorders,,38757022,Archives of Medical Science
019c05c3-7e4d-707c-a544-e82e6130230a,Absolute Lymphocyte Count as a Surrogate Marker of CD4 Count in Monitoring HIV Infected Individuals: A Prospective Study,,27504379,Journal of Clinical and Diagnostic Research
019c07a8-0225-71e3-9d12-ce8a276d33df,Adrenal Androgens and Aging,,25905237,Endotext
019c07ae-2e89-78b2-85b5-31b1b148c691,Adrenal Androgens and Aging,,25905237,Endotext
019c1a2b-a36f-7eac-a5f1-24f4335535ee,"Anatomy, histology, and nerve density of clitoris and associated structures: clinical applications to vulvar surgery",10.1016/j.ajog.2020.08.112,32888920,American Journal of Obstetrics and Gynecology
019c0819-f910-7ff5-bfed-1d6b1c6d586c,"Anemia: Pathophysiology, Classification, and Clinical Approach",,,StatPearls Publishing
019c092e-d3d7-7be2-aa5d-f9307b49ef95,"Anemia: Pathophysiology, Classification, and Clinical Approach",,,StatPearls Publishing
019c1a2b-a36f-7649-bb18-69f09880106b,Anesthesia Monitoring of Mixed Venous Saturation,,30969657,StatPearls [Internet]
019c1a2b-a36f-7522-9f12-83c07a4a6141,Antioxidant-independent activities of alpha-tocopherol,10.1016/j.jbc.2025.108327,39978678,Journal of Biological Chemistry
019c1a2b-a36f-7940-8b7e-78ba5dcfcbdd,Approach to the Patient: The Evaluation and Management of Men ≥50 Years With Low Serum Testosterone Concentration,,36995891,The Journal of Clinical Endocrinology & Metabolism
019c1a2b-a36f-79a6-acde-b2498b6ad7e5,Association between Serum Total Testosterone Level and Bone Mineral Density in Middle-Aged Postmenopausal Women,,36034179,International Journal of Endocrinology
