Nome;Unidade | Conversão;20;Nível 0;Nível 1;Nível 2;Nível 3;Nível 4;Nível 5;Nível 6
FAN (Fator Antinuclear);Título (diluição);20;≥1:640;1:320;1:160;1:80;1:40;Negativo;
Ferro Sérico;µg/dL | 1 µg/dL = 0.179 µmol/L;20;<40;>150;40 a 74;131 a 150;75 a 84;85 a 130;
Fibrinogênio;mg/dL | 1 mg/dL = 0.01 g/L;20;<150;>450;150 a 174;351 a 450;281 a 350;175 a 280;
Fosfatase Alcalina;U/L | 1 U/L = 0.0167 µkat/L;20;<40;≥199;40 a 55;120 a 199;82 a 120;55 a 82;
Fósforo Sérico;mg/dL | 1 mg/dL = 0.323 mmol/L;20;<1.5;>4.5;1.5 a 2.49;3.51 a 4.5;2.5 a 2.79;2.8 a 3.5;
FSH - Mulheres Pré-menopausa (Dia 3);mIU/mL | 1 mIU/mL = 1 IU/L;20;>15;10 a 15;9 a 10;6 a 9;<6;;
FSH - Mulheres Ovulação;mIU/mL | 1 mIU/mL = 1 IU/L;20;<5;>17;5 a 8;8 a 17;;;
FSH - Mulheres Fase Lútea;mIU/mL | 1 mIU/mL = 1 IU/L;20;>9;5 a 9;1 a 5;;;;
FSH - Mulheres Pós-menopausa;mIU/mL | 1 mIU/mL = 1 IU/L;20;<25;>100;25 a 40;40 a 100;;;
FSH - Homens;mIU/mL | 1 mIU/mL = 1 IU/L;20;<1.5;>12;7 a 12;4 a 7;1.5 a 4;;
pH Venoso;unidade | 1 unidade = 1 pH;20;<7.25;>7.50;7.25 a 7.29;7.45 a 7.50;7.30 a 7.34;7.35 a 7.44;
pCO2 Venoso;mmHg | 1 mmHg = 0.133 kPa;20;<30;>65;30 a 37;56 a 65;38 a 47;48 a 55
pO2 Venoso;mmHg | 1 mmHg = 0.133 kPa;20;<25;25 a 29;30 a 34;35 a 39;40 a 50;;
HCO3 (Bicarbonato);mEq/L | 1 mEq/L = 1 mmol/L;20;<18;>32;18 a 21;28 a 32;22 a 23;24 a 27;
Base Excess (BE);mEq/L | 1 mEq/L = 1 mmol/L;20;<-10;>+6;-10 a -6;+3 a +6;-5 a -3;-2 a +2;
SatO2 Venosa;% | percentual;20;<60;>90;60 a 64;85 a 90;65 a 69;70 a 84;
Gliadina Deaminada IgA (DGP-IgA);U/mL | 1 U/mL;20;>100;31 a 100;15 a 30;<15;;;
Hemoglobina Glicada (HbA1c);% | 1% = 10.93 mmol/mol - 23.5;20;≥6.5;5.7 a 6.4;4.0 a 4.7;5.4 a 5.6;4.8 a 5.3;;
Relação Neutrófilos/Linfócitos (NLR);ratio | razão;20;>4.00;3.40 a 4.00;2.61 a 3.39;2.01 a 2.60;1.0 a 2.0;;
Relação Monócitos/Linfócitos (MLR);ratio | razão;20;>0.35;0.26 a 0.35;0.21 a 0.25;0.10 a 0.20;;;
VPM (MPV);fL | femtoliters;20;>10.0;9.1 a 10.0;8.6 a 9.0;7.0 a 8.5;;;
Hepatite B - Anti-Hbs;mIU/mL | 1 mIU/mL;20;<5;5 a 10;10 a 100;>100;;;
Hepatite B - Anti-Hbc;Qualitativo | Reagente/Não-reagente;20;Reagente;;;Não-reagente;;;
Hepatite B - HbsAg;Qualitativo | Reagente/Não-reagente;20;Reagente;;;Não-reagente;;;
Hepatite C - Anti-HCV;Qualitativo | Reagente/Não-reagente;20;Reagente;;;Não-reagente;;;
HIV 1+2;Qualitativo | Reagente/Não-reagente;20;Reagente;;;Não-reagente;;;
VDRL (Sífilis);Qualitativo | Reagente/Não-reagente com título;20;Reagente;;;Não-reagente;;;
Homocisteína;µmol/L | 1 µmol/L = 0.135 mg/L;20;>15;12 a 15;10 a 12;8 a 10;<6;6 a 8;

IGF-1 (20-30 anos);ng/mL | 1 ng/mL = 0.131 nmol/L;20;<60;60 a 99;>220;100 a 139;181 a 220;140 a 180;
IGF-1 (31-50 anos);ng/mL | 1 ng/mL = 0.131 nmol/L;20;<50;50 a 89;>190;90 a 119;161 a 190;120 a 160;
IGF-1 (51-70 anos);ng/mL | 1 ng/mL = 0.131 nmol/L;20;<40;40 a 79;>175;80 a 119;161 a 175;120 a 160;
IGF-1 (70+ anos);ng/mL | 1 ng/mL = 0.131 nmol/L;20;<30;30 a 69;>170;70 a 99;151 a 170;100 a 150;
Imunoglobulina A (IgA);mg/dL | 1 mg/dL = 0.01 g/L;20;<40;>400;40 a 99;301 a 400;100 a 200;201 a 300;
Imunoglobulina G (IgG);mg/dL | 1 mg/dL = 0.01 g/L;20;<400;>1600;400 a 699;1301 a 1600;700 a 1000;1001 a 1300;
Imunoglobulina M (IgM);mg/dL | 1 mg/dL = 0.01 g/L;20;<50;>300;50 a 79;201 a 300;80 a 200;;
Imunoglobulina E (IgE);IU/mL | 1 IU/mL = 1 kU/L = 2.4 ng/mL;20;>1000;201 a 1000;101 a 200;31 a 100;0 a 30;;
Interleucina-6 (IL-6);pg/mL | 1 pg/mL = 1 ng/L = 41.7 pmol/L;20;>10;5 a 10;3 a 5;2 a 3;1 a 2;<1;

JAK2 V617F (Allele Burden);% | percentual de alelos mutantes;20;≥50;30 a 49;10 a 29;0.1 a 9.9;Negativo (<0.014);
Leptina - Homens;ng/mL | 1 ng/mL = 1000 pg/mL;20;<1.0;>10;6 a 10;4 a 6;1.0 a 1.2;1.2 a 4.0
Leptina - Mulheres;ng/mL | 1 ng/mL = 1000 pg/mL;20;<3.0;>20;14 a 20;11 a 14;3.0 a 4.7;4.7 a 11.0
Lipoproteína A (Lp(a));nmol/L | NÃO converter para mg/dL;20;>450;250 a 450;125 a 250;75 a 125;30 a 75;<30
LDL Oxidada (oxLDL);U/L | varia por ensaio;20;≥100;70 a 99;60 a 69;48 a 59;<48;
Magnésio RBC;mg/dL | 1 mg/dL = 0.41 mmol/L;20;<4.0;4.0 a 4.79;4.8 a 5.49;5.5 a 5.99;6.0 a 6.4;6.5 a 6.8
Magnésio Sérico;mg/dL | 1 mg/dL = 0.41 mmol/L;20;<1.5;1.5 a 1.99;2.0 a 2.09;2.1 a 2.19;2.2 a 2.35;2.36 a 2.5
Manganês (Sangue Total);µg/L | 1 µg/L = 18.2 nmol/L;20;>20.0;<4.7;4.7 a 8.0;15.0 a 20.0;12.5 a 15.0;8.0 a 12.5
Mercúrio (Sangue Total);µg/L | 1 µg/L = 5 nmol/L;20;>20;10 a 20;5 a 10;2 a 5;<2;
Microalbuminúria/Creatininúria (ACR);mg/g | 1 mg/g = 0.113 mg/mmol;20;≥300;100 a 299;30 a 99;15 a 29;10 a 14;<10

NT-proBNP (<50 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>1800;450 a 1800;300 a 449;125 a 299;50 a 124;<50;
NT-proBNP (50-75 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>2000;900 a 2000;450 a 899;250 a 449;75 a 249;<75;
NT-proBNP (>75 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>4000;1800 a 4000;900 a 1799;500 a 899;125 a 499;<125;
PCR ultrassensível (hs-CRP);mg/L | 1 mg/L = 0.1 mg/dL;20;≥10.0;3.0 a 9.99;2.0 a 2.99;1.0 a 1.99;0.5 a 0.99;<0.5;
Colesterol Total;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;<120;≥280;120 a 159;250 a 279;160 a 199;200 a 249;
HDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;<30;≥90;30 a 39;80 a 89;40 a 49;50 a 79;
LDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥190;160 a 189;130 a 159;100 a 129;70 a 99;<70;
VLDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥40;30 a 39;20 a 29;<20;;
Triglicerídeos;mg/dL | 1 mg/dL = 0.01129 mmol/L;20;≥500;200 a 499;150 a 199;100 a 149;70 a 99;<70;
Relação Colesterol Total/HDL;ratio | razão;20;>5.0;4.0 a 5.0;3.5 a 4.0;3.0 a 3.5;<3.0;;
Relação Triglicerídeos/HDL;ratio | razão;20;>3.0;2.0 a 3.0;1.5 a 2.0;1.0 a 1.5;<1.0;;
Colesterol não-HDL;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥220;190 a 219;160 a 189;130 a 159;100 a 129;<100;
Potássio;mEq/L | 1 mEq/L = 1 mmol/L;20;<2.5;>6.0;2.5 a 3.4;5.1 a 6.0;3.5 a 3.9;4.0 a 4.9;
PTH (Paratormônio);pg/mL | 1 pg/mL = 0.106 pmol/L;20;<10;>65;49.6 a 65;40 a 49.5;32.1 a 39.9;10 a 32
Progesterona - Mulheres Fase Folicular;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>2.0;1.0 a 2.0;<0.1;0.1 a 0.7;;
Progesterona - Mulheres Fase Lútea;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<3.0;>30.0;3.0 a 5.0;25.0 a 30.0;5.0 a 10.0;10.0 a 25.0;
Progesterona - Mulheres Gestação 1º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<5.0;5.0 a 10.0;10.0 a 15.0;15.0 a 60.0;;
Progesterona - Mulheres Gestação 2º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<17.0;17.0 a 25.0;25.0 a 146.0;;;
Progesterona - Mulheres Gestação 3º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<55.0;55.0 a 80.0;80.0 a 250.0;;;
Progesterona - Mulheres Pós-Menopausa;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>1.3;0.5 a 1.3;0.2 a 0.5;<0.2;;
Progesterona - Homens;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>1.6;1.0 a 1.6;0.5 a 1.0;<0.5;;
Prolactina - Mulheres;ng/mL | 1 ng/mL = 21.2 mIU/L = 1 µg/L;20;<3.0;>200;100 a 200;30 a 100;10 a 30;3.0 a 10
Prolactina - Homens;ng/mL | 1 ng/mL = 21.2 mIU/L = 1 µg/L;20;<2.0;>200;100 a 200;20 a 100;10 a 20;2.0 a 10
PSA Total;ng/mL | 1 ng/mL = 1 µg/L;20;>10.0;4.0 a 10.0;2.5 a 4.0;1.0 a 2.5;<1.0;;
PSA Livre/Total (%Free PSA);% | percentual;20;<10;>25;10 a 15;15 a 25;;;
Reticulócitos;% | percentual de hemácias;20;<0.5;>5.0;0.5 a 0.9;2.6 a 5.0;1.6 a 2.5;1.0 a 1.5;
Cor da Urina;Descritivo | Coloração;20;Vermelho-escuro/Marrom/Preto;Laranja-escuro;Laranja/Âmbar-escuro;Âmbar;Amarelo-claro;Amarelo-palha/Incolor
Aspecto da Urina (Turbidez);Descritivo | Claridade;20;Turvo intenso/Purulento;Turvo;Levemente turvo;Ligeiramente turvo;Translúcido;Límpido/Cristalino
Densidade Urinária (USG);specific gravity | 1.000 = água pura;20;<1.003;>1.030;1.003 a 1.009;1.026 a 1.030;1.021 a 1.025;1.010 a 1.020
pH Urinário;unidade | 1 unidade = 1 pH;20;<5.0;>8.0;5.0 a 5.5;7.6 a 8.0;5.5 a 5.9;6.0 a 7.5
Proteínas (Qualitativo);mg/dL | trace/1+/2+/3+/4+;20;≥300 (3+ a 4+);100 a 299 (2+);30 a 99 (1+);10 a 29 (Traços);Negativo (<10);;
Glicose Urinária;mg/dL | 1 mg/dL;20;≥1000 (4+);500 a 999 (3+);250 a 499 (2+);100 a 249 (1+);15 a 99;Negativo (<15)
Corpos Cetônicos;mg/dL | acetoacetato;20;≥80 (4+);40 a 79 (3+);15 a 39 (2+);5 a 14 (1+);Traços (<5);Negativo
Bilirrubina;Qualitativo | small/moderate/large;20;Large (3+);Moderate (2+);Small (1+);Traços;Negativo;;
