Nome;Unidade | Conversão;20;Nível 0;Nível 1;Nível 2;Nível 3;Nível 4;Nível 5;Nível 6
TSH;mIU/L | 1 mIU/L = 1 µIU/mL;20;<0.1;>10.0;0.1 a 0.4;4.6 a 10.0;0.5 a 2.5;2.6 a 4.5;
T3 Livre (FT3);pg/mL | 1 pg/mL = 1.54 pmol/L;20;<1.8;>4.4;1.8 a 2.3;4.0 a 4.4;2.4 a 2.7;3.2 a 3.9;2.8 a 3.1
T4 Livre (FT4);ng/dL | 1 ng/dL = 12.87 pmol/L;20;<0.7;>1.8;0.7 a 0.9;1.6 a 1.8;1.0 a 1.1;1.3 a 1.5;1.2
Testosterona Total - Homens;ng/dL | 1 ng/dL = 0.0347 nmol/L;20;<150;150 a 264;265 a 349;350 a 500;501 a 700;701 a 1100;>1100
Testosterona Total - Mulheres;ng/dL | 1 ng/dL = 0.0347 nmol/L;20;<6;>80;6 a 9;60 a 80;10 a 14;50 a 59;15 a 49
Testosterona Livre - Homens;pg/mL | 1 pg/mL = 3.47 pmol/L;20;<35;35 a 49;50 a 69;70 a 100;101 a 150;151 a 250;>250
Testosterona Livre - Mulheres;pg/mL | 1 pg/mL = 3.47 pmol/L;20;<0.5;>8.0;0.5 a 1.0;6.0 a 8.0;1.1 a 1.9;4.5 a 5.9;2.0 a 4.4
TRAb (Anticorpos Anti-Receptor de TSH);IU/L | 1 IU/L = 1 U/L;20;>20.0;10.0 a 20.0;3.0 a 9.99;1.76 a 2.99;1.0 a 1.75;<1.0;
AST (TGO);U/L | 1 U/L = 0.0167 µkat/L;20;>120;60 a 120;41 a 59;26 a 40;<26;;
ALT (TGP);U/L | 1 U/L = 0.0167 µkat/L;20;>120;60 a 120;41 a 59;26 a 40;<26;;
Troponina I Ultrassensível - Homens;ng/L | 1 ng/L = 0.001 ng/mL;20;>100;50 a 100;20 a 49;10 a 19;3 a 9;<3;
Troponina I Ultrassensível - Mulheres;ng/L | 1 ng/L = 0.001 ng/mL;20;>60;30 a 60;15 a 29;8 a 14;2 a 7;<2;
Tempo de Protrombina (INR);ratio | razão normalizada internacional;20;<0.8;>3.0 (sem anticoag);0.8 a 0.9;2.6 a 3.0 (sem anticoag);1.3 a 1.5;1.6 a 2.5;0.9 a 1.2
