Nome;Unidade | Conversão;20;Nível 0;Nível 1;Nível 2;Nível 3;Nível 4;Nível 5
Hemoglobina - Homens;g/dL | 1 g/dL = 10 g/L;20;>16.5;<10.0;10.0 a 13.0;13.0 a 14.0;15.0 a 16.5;14.0 a 15.0
Hemoglobina - Mulheres;g/dL | 1 g/dL = 10 g/L;20;>15.5;<10.0;10.0 a 12.0;12.0 a 13.5;14.5 a 15.5;13.5 a 14.5
Hematócrito - Homens;% | percentual;20;>51;<30;30 a 39;39 a 40;48 a 51;40 a 48
Hematócrito - Mulheres;% | percentual;20;>47;<28;28 a 36;36 a 37;44 a 47;37 a 44
Hemácias - Homens;M/µL | 1 M/µL = 10^12/L;20;>5.8;<3.8;3.8 a 4.4;4.4 a 4.6;5.4 a 5.8;4.6 a 5.4
Hemácias - Mulheres;M/µL | 1 M/µL = 10^12/L;20;>5.4;<3.6;3.6 a 4.0;4.0 a 4.2;5.0 a 5.4;4.2 a 5.0
VCM (MCV);fL | femtoliters;20;>100;<70;70 a 80;80 a 82;90 a 100;82 a 90
HCM (MCH);pg | picogramas;20;>33.5;<24;24 a 27;27 a 28;32 a 33.5;28 a 32
CHCM (MCHC);g/dL | 1 g/dL = 10 g/L;20;>37;<30;30 a 32.5;32.5 a 33;36 a 37;33 a 36
RDW;% | coeficiente de variação;20;>14.5;<10.5;10.5 a 11.6;11.6 a 13.0;13.0 a 14.5;11.6 a 12.6
Leucócitos Totais (WBC);k/µL | 1 k/µL = 10^9/L;20;>9.0;<2.5;2.5 a 3.8;3.8 a 5.0;7.0 a 9.0;5.0 a 7.0
Neutrófilos (absoluto);k/µL | 1 k/µL = 10^9/L;20;>5.0;<1.5;1.5 a 2.0;2.0 a 2.5;4.0 a 5.0;2.5 a 4.0
Linfócitos (absoluto);k/µL | 1 k/µL = 10^9/L;20;>2.8;<0.8;0.8 a 1.0;1.0 a 1.2;2.4 a 2.8;1.2 a 2.4
Linfócitos (percentual);% | percentual;20;>50;<15;15 a 20;20 a 24;44 a 50;24 a 44
Monócitos (absoluto);k/µL | 1 k/µL = 10^9/L;20;>0.65;<0.2;0.2 a 0.3;0.3 a 0.35;0.55 a 0.65;0.35 a 0.55
Eosinófilos (absoluto);células/µL | 1 célula/µL;20;>200;<10;10 a 25;25 a 40;100 a 200;40 a 100
Basófilos (absoluto);células/µL | 1 célula/µL;20;>100;<10;10 a 25;25 a 35;60 a 100;35 a 60
Plaquetas;k/µL | 1 k/µL = 10^9/L;20;>350;<50;50 a 100;100 a 175;250 a 350;175 a 250
